Активные соединения с интернетом (w/o servers)
Proto Recv-Q Send-Q Local Address Foreign Address State      
unix  3      [ ]         STREAM     CONNECTED     64049    
unix  3      [ ]         STREAM     CONNECTED     55717    
unix  3      [ ]         STREAM     CONNECTED     36636    /run/systemd/journal/stdout
unix  3      [ ]         STREAM     CONNECTED     36633    /run/systemd/journal/stdout
unix  3      [ ]         STREAM     CONNECTED     63772    /run/user/1000/bus
unix  3      [ ]         STREAM     CONNECTED     41582    /run/containerd/containerd.sock
unix  3      [ ]         STREAM     CONNECTED     37109    
unix  3      [ ]         STREAM     CONNECTED     69775    
unix  3      [ ]         STREAM     CONNECTED     50229    
unix  3      [ ]         STREAM     CONNECTED     47245    
unix  3      [ ]         STREAM     CONNECTED     39902    
